year,month,pollutant,emission_Gg
2008,9,PM2.5,6.390390272
2008,10,PM2.5,45.947768832
2008,11,PM2.5,8.576035328
2008,12,PM2.5,0.627414656
2008,1,OC,0.23865936
2008,2,OC,8.681617408
2008,3,OC,29.251334144
2008,4,OC,22.105135104
2008,5,OC,1.804609024
2008,6,OC,0.933891712
2008,7,OC,1.399993728
2008,8,OC,2.9285312
2008,9,OC,4.332228096
2008,10,OC,32.717498368
2008,11,OC,6.10744576
2008,12,OC,0.447715168
2008,1,BC,0.011322036
2008,2,BC,0.47556624
2008,3,BC,1.57274496
2008,4,BC,1.189541632
2008,5,BC,0.09359856
2008,6,BC,0.051257864
2008,7,BC,0.07317736
2008,8,BC,0.151408832
2008,9,BC,0.237342848
2008,10,BC,1.655384832
2008,11,BC,0.306528768
2008,12,BC,0.022944922
2008,1,NOx,0.053067764
2008,2,NOx,2.83083904
2008,3,NOx,9.20748032
2008,4,NOx,6.891167232
2008,5,NOx,0.511474048
2008,6,NOx,0.324623872
2008,7,NOx,0.400488416
2008,8,NOx,0.824187584
2008,9,NOx,1.410896256
2008,10,NOx,8.723198976
2008,11,NOx,1.595177216
2008,12,NOx,0.123323232
2009,1,CO,3.338313728
2009,2,CO,15.718398976
2009,3,CO,57.659912192
2009,4,CO,267.566809088
2009,5,CO,86.812606464
2009,6,CO,3.518943744
2009,7,CO,1.951410432
2009,8,CO,9.354341376
2009,9,CO,49.51556096
2009,10,CO,95.200059392
2009,11,CO,64.448794624
2009,12,CO,0.039520416
2009,1,PM2.5,0.525158656
2009,2,PM2.5,3.134286336
2009,3,PM2.5,10.604791808
2009,4,PM2.5,46.009581568
2009,5,PM2.5,13.82544896
2009,6,PM2.5,0.497663744
2009,7,PM2.5,0.307465792
2009,8,PM2.5,1.670862976
2009,9,PM2.5,9.5273216
2009,10,PM2.5,19.295758336
2009,11,PM2.5,12.852432896
2009,12,PM2.5,0.008750262
2009,1,OC,0.338497088
2009,2,OC,2.235264512
2009,3,OC,7.345995264
2009,4,OC,29.837535232
2009,5,OC,8.52143104
2009,6,OC,0.2878144
2009,7,OC,0.198566496
2009,8,OC,1.108402048
2009,9,OC,6.682161664
2009,10,OC,13.837518848
2009,11,OC,9.145311232
2009,12,OC,0.0065050025
2009,1,BC,0.02088958
2009,2,BC,0.117310472
2009,3,BC,0.408335584
2009,4,BC,1.697554688
2009,5,BC,0.4980064
2009,6,BC,0.020938456
2009,7,BC,0.013444411
2009,8,BC,0.05866966
2009,9,BC,0.351386784
2009,10,BC,0.689219456
2009,11,BC,0.462894368
2009,12,BC,0.0003061218125
2009,1,NOx,0.14306264
2009,2,NOx,0.65643904
2009,3,NOx,2.485089536
2009,4,NOx,10.756637696
2009,5,NOx,3.258992896
2009,6,NOx,0.166532608
2009,7,NOx,0.100014096
2009,8,NOx,0.337310016
2009,9,NOx,1.967035136
2009,10,NOx,3.541953024
2009,11,NOx,2.440270336
2009,12,NOx,0.001409382875
